course,lecturer,group,students,capacity,room
CS101,Dr. Smith,CS200,45,50,ComputerLab1
CS102,Dr. Smith,CS200,42,50,ComputerLab2
CS201,Dr. Johnson,CS300,38,40,LectureHallA
CS202,Dr. Johnson,CS300,35,40,LectureHallB
CS301,Prof. Davis,CS400,28,30,SeminarRoom1
CS302,Prof. Davis,CS400,25,30,SeminarRoom2
MATH101,Dr. Wilson,MATH100,55,60,MathLectureHall
MATH102,Dr. Wilson,MATH100,52,60,MathLectureHall
MATH201,Prof. Brown,MATH200,42,50,MathLab1
MATH202,Prof. Brown,MATH200,38,50,MathLab2
PHYS101,Dr. Taylor,PHYS100,48,50,PhysicsLab1
PHYS102,Dr. Taylor,PHYS100,45,50,PhysicsLab2
PHYS201,Prof. Anderson,PHYS200,35,40,PhysicsLecture
PHYS202,Prof. Anderson,PHYS200,32,40,PhysicsLecture
CHEM101,Dr. Martinez,CHEM100,28,30,ChemistryLab1
CHEM102,Dr. Martinez,CHEM100,25,30,ChemistryLab2
CHEM201,Prof. Garcia,CHEM200,22,25,ResearchLab1
CHEM202,Prof. Garcia,CHEM200,20,25,ResearchLab2
BIO101,Dr. Lee,BIO100,40,45,BiologyLab1
BIO102,Dr. Lee,BIO100,38,45,BiologyLab2
BIO201,Prof. Kim,BIO200,30,35,BiologyLecture
BIO202,Prof. Kim,BIO200,28,35,BiologyLecture
ENG101,Dr. White,ENG100,60,70,LanguageLab1
ENG102,Dr. White,ENG100,58,70,LanguageLab2
ENG201,Prof. Black,ENG200,45,50,LanguageHall
ENG202,Prof. Black,ENG200,42,50,LanguageHall</content>
<parameter name="filePath">c:\Users\EMMANUEL\projects\timetable_ai\sample_optimal_timetable.csv
